IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP6;IC_GROUP0;IC_GROUP1;IC_GROUP2
16;Кулер для процессора Gamemax Gamma 500 Blue;16;Y;26.04.2021 18:23:00;;/upload/iblock/2d1/2d1b80c7778ae1bb1c4e59dc11e9c054.jpg;;text;/upload/iblock/2d1/2d1b80c7778ae1bb1c4e59dc11e9c054.jpg;"ОПИСАНИЕ
Общие характеристики
Назначение
для процессора
Максимальная рассеиваемая мощность (TDP), Вт
187
Сокет
AM2, AM4, AM3, AM3+, AM2+; LGA 1151, LGA 1150, FM1, LGA 1155, LGA 1156, LGA 1151-v2, LGA 775, 940, 754, 939, LGA 1200
Количество тепловых трубок
5
Материал радиатора
алюминий
Количество вентиляторов
1
Размеры вентилятора (ДхШхВ)
120x120x25 мм
Скорость вращения
800 - 1500 об/мин
Воздушный поток
73.5 CFM
Уровень шума
16.5 - 30.8 дБ
Тип подшипника
гидродинамический
Дополнительно
Тип коннектора
4-pin PWM
Цвет подсветки
синий
Регулятор оборотов
программный
Время безотказной работы
30000 ч
Размеры кулера (ШхВxГ)
126x148x85 мм
Вес
575 г";text;kuler-dlya-protsessora-gamemax-gamma-500-blue;500;;13;AVG;;
17;Гигабитный сетевой адаптер TG-3468 TP-Link TG-3468 PCI Express;17;Y;26.04.2021 18:23:00;;/upload/iblock/0a3/0a3b80480834e18cd2cc0d1ac410c925.jpg;;text;/upload/iblock/0a3/0a3b80480834e18cd2cc0d1ac410c925.jpg;"ОПИСАНИЕ
Общие характеристики
Интерфейс
PCI-E
Скорость передачи данных
10/100/1000
Количество разъемов RJ-45
1
Поддержка 802.1p
есть
Поддержка 802.1Q VLAN
есть
Поддержка 802.3x Flow Control
есть
Поддержка Jumbo Frame
есть
Пропускная способность шины PCI
32
Поддержка Wake-on-LAN
есть
Аппаратное шифрование
нет
Низкопрофильная карта (Low Profile)
есть
Описание (черновик)
Гигабитный сетевой адаптер PCI Express TG-3468 10/100/1000 Мбит/с адаптер PCIe 32-битный интерфейс PCIe, позволяющий сэкономить пространство при установке Функция Wake-on-LAN, позволяющая осуществлять управление по сети Поддержка операционных систем Windows 10/8.1/8/7/Vista/XP В дополнение к стандартной планке в комплекте идёт низкопрофильная планка для корпусов mini-tower";text;gigabitnyy-setevoy-adapter-tg-3468-tp-link-tg-3468-pci-express;500;;13;AVG;;
18;Кронштейн для видеокарты Gamemax Vertical GPU Kit GPU holder support;18;Y;26.04.2021 18:28:00;;/upload/iblock/3b3/3b3d96ce9087f482fbf62aa5a6f52c98.jpg;;text;/upload/iblock/3b3/3b3d96ce9087f482fbf62aa5a6f52c98.jpg;"ОПИСАНИЕ
GameMax VGPUKIT, универсальный вертикальный кронштейн для графического процессора, в комплект входит кронштейн для графического процессора Verfical и плоский высококачественный кабель PCIe 16x Riser диаметром 220 мм, а также дополнительный регулируемый держатель 2x вверх / вниз, чтобы карта графического процессора была надежной во время транспортировки.

Совместимость с шасси с ""ОТКРЫТЫМ"" разъемом PCI, может потребоваться модификация.";text;kronshteyn-dlya-videokarty-gamemax-vertical-gpu-kit-gpu-holder-support;500;;13;AVG;;
19;Компьютерный корпус Cooler Master MasterBox Lite 5;19;Y;26.04.2021 18:29:00;;/upload/iblock/1e8/1e89cb3f82e019dd80d1c8ef137c0ab1.jpg;;text;/upload/iblock/1e8/1e89cb3f82e019dd80d1c8ef137c0ab1.jpg;"ОПИСАНИЕ
Форм-фактор и размеры
Форм-фактор материнской платы
Форм-фактор материнской платы ATX, mATX, Mini-ITX
Типоразмер
Midi-Tower
Блок питания
нет
Максимальная высота процессорного кулера
160 мм
Максимальная длина видеокарты
400 мм
Габариты (ШхВхГ)
200x455x469 мм";text;kompyuternyy-korpus-cooler-master-masterbox-lite-5;500;;13;AVG;;
